"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value"
"WHR","Whirlpool Corp","Common stocks","Large cap","Consumer Discretionary","$11,456,147,498","3.01%","6.40","0.52","2.36"
"TAP","Molson Coors Brewing Class B","Common stocks","Large cap","Consumer Staples","$11,369,625,829","2.01%","10.56","1.11","0.79"
"LNC","Lincoln National Corp","Common stocks","Large cap","Financials","$11,347,520,313","2.58%","8.11","0.59","0.56"
"SNA","Snap On Inc","Common stocks","Large cap","Industrials","$11,236,241,760","2.51%","13.93","1.47","2.72"
"RE","Everest Re Group Ltd","Common stocks","Large cap","Financials","$11,199,550,176","2.16%","8.16","0.99","1.11"
"JNPR","Juniper Networks Inc","Common stocks","Large cap","Information Technology","$11,183,582,198","2.32%","45.10","2.36","2.64"
"LUMN","CenturyLink, Inc.","Common stocks","Large cap","Communication Services","$11,062,653,741","9.04%","5.58","0.56","0.96"
"AOS","A O Smith Corp","Common stocks","Large cap","Industrials","$10,979,416,000","1.58%","18.31","3.10","4.87"
"DVA","Davita Inc","Common stocks","Large cap","Health Care","$10,839,528,000","0.00%","11.18","0.93","14.48"
"AAL","American Airlines Group Inc","Common stocks","Large cap","Industrials","$10,743,599,936","0.00%","-5.46","0.36","-1.48"
"XRAY","Dentsply Sirona Inc","Common stocks","Large cap","Health Care","$10,607,947,814","0.88%","25.15","2.50","2.10"
"ALLE","Allegion PLC","Common stocks","Large cap","Industrials","$10,392,663,763","1.26%","21.58","3.62","13.73"
"ZION","Zions Bancorporation","Common stocks","Large cap","Financials","$10,358,589,371","2.15%","9.35","3.56","1.38"
"SEE","Sealed Air Corp","Common stocks","Large cap","Materials","$10,116,238,004","1.17%","19.98","1.83","40.72"
"AIZ","Assurant Inc","Common stocks","Large cap","Financials","$10,034,168,222","1.52%","7.35","0.98","1.83"
"CDAY","Ceridian HCM Holding Inc.","Common stocks","Large cap","Information Technology","$10,029,196,497","0.00%","-142.17","9.79","4.81"
"TPR","Tapestry","Common stocks","Mid cap","Consumer Discretionary","$9,881,135,182","1.99%","12.12","1.52","3.46"
"IVZ","Invesco Ltd","Common stocks","Mid cap","Financials","$9,813,988,547","3.16%","7.08","1.42","0.64"
"GL","Globe Life Inc.","Common stocks","Mid cap","Financials","$9,796,753,107","0.80%","13.10","1.91","1.13"
"NWL","Newell Brands Inc","Common stocks","Mid cap","Consumer Discretionary","$9,656,580,000","3.99%","16.65","0.91","2.33"
"MHK","Mohawk Industries Inc","Common stocks","Mid cap","Consumer Discretionary","$9,445,060,440","0.00%","9.10","0.84","1.12"
"PNR","Pentair","Common stocks","Mid cap","Industrials","$9,402,379,337","1.42%","17.08","2.50","3.90"
"NRG","NRG Energy Inc","Common stocks","Mid cap","Utilities","$9,366,487,285","3.38%","4.20","0.35","2.55"
"FRT","Federal Realty Investment Trust","REITs","Mid cap","Real Estate","$9,247,695,948","0.91%","36.00","9.72","3.58"
"BWA","BorgWarner Inc","Common stocks","Mid cap","Consumer Discretionary","$9,195,228,396","1.76%","17.24","0.62","1.33"
"PBCT","Peoples United Financial Inc","Common stocks","Mid cap","Financials","$9,061,767,401","3.41%","15.33","4.79","1.15"
"WYNN","Wynn Resorts Ltd","Common stocks","Mid cap","Consumer Discretionary","$8,913,769,325","0.00%","-12.21","2.37","-43.05"
"RL","Ralph Lauren Corp Class A","Common stocks","Mid cap","Consumer Discretionary","$8,715,041,133","1.72%","11.20","1.46","2.06"
